cliente_id,nombre,edad,genero,ubicacion
1,Cliente_1,54,Otro,Puebla
2,Cliente_2,46,M,Tijuana
3,Cliente_3,68,F,Monterrey
4,Cliente_4,21,M,CDMX
5,Cliente_5,54,Otro,CDMX
6,Cliente_6,25,Otro,Monterrey
7,Cliente_7,31,F,Guadalajara
8,Cliente_8,54,M,Guadalajara
9,Cliente_9,28,Otro,Guadalajara
10,Cliente_10,53,F,Tijuana
11,Cliente_11,21,F,Tijuana
12,Cliente_12,31,Otro,Puebla
13,Cliente_13,63,F,Puebla
14,Cliente_14,66,F,Puebla
15,Cliente_15,30,M,CDMX
16,Cliente_16,38,Otro,Monterrey
17,Cliente_17,51,F,Puebla
18,Cliente_18,40,Otro,CDMX
19,Cliente_19,27,F,Monterrey
20,Cliente_20,30,Otro,CDMX
21,Cliente_21,42,Otro,Tijuana
22,Cliente_22,45,M,Puebla
23,Cliente_24,52,F,CDMX
24,Cliente_25,65,F,CDMX
25,Cliente_26,46,Otro,Puebla
26,Cliente_27,22,F,Puebla
27,Cliente_28,38,M,Tijuana
28,Cliente_29,58,Otro,Tijuana
29,Cliente_30,56,M,Guadalajara
30,Cliente_31,66,F,Tijuana
31,Cliente_32,63,F,Puebla
32,Cliente_33,36,M,Tijuana
33,Cliente_34,61,Otro,Tijuana
34,Cliente_35,24,Otro,Monterrey
35,Cliente_36,39,M,Guadalajara
36,Cliente_37,48,F,Tijuana
37,Cliente_38,28,F,Guadalajara
38,Cliente_39,22,Otro,CDMX
39,Cliente_40,29,M,Tijuana
40,Cliente_41,18,M,CDMX
41,Cliente_42,58,M,Puebla
42,Cliente_43,34,F,Monterrey
43,Cliente_44,57,F,CDMX
44,Cliente_46,68,M,Puebla
45,Cliente_47,59,F,Guadalajara
46,Cliente_48,55,F,CDMX
47,Cliente_49,39,M,Guadalajara
48,Cliente_50,59,Otro,CDMX
49,Cliente_51,41,M,Puebla
50,Cliente_52,54,M,Guadalajara
51,Cliente_53,52,Otro,Monterrey
52,Cliente_54,35,F,Tijuana
53,Cliente_55,55,F,Puebla
54,Cliente_56,32,Otro,CDMX
55,Cliente_57,25,M,Monterrey
56,Cliente_58,67,Otro,Puebla
57,Cliente_59,32,Otro,Tijuana
58,Cliente_60,45,F,Guadalajara
59,Cliente_61,65,F,Tijuana
60,Cliente_62,32,F,CDMX
61,Cliente_63,52,Otro,Monterrey
62,Cliente_64,68,F,Tijuana
63,Cliente_65,60,M,Guadalajara
64,Cliente_66,51,Otro,Tijuana
65,Cliente_67,41,F,Puebla
66,Cliente_68,25,Otro,Guadalajara
67,Cliente_69,53,Otro,Guadalajara
68,Cliente_70,18,F,Guadalajara
69,Cliente_71,55,Otro,Tijuana
70,Cliente_72,57,F,Puebla
71,Cliente_73,26,M,Monterrey
72,Cliente_74,62,F,CDMX
73,Cliente_75,52,M,Guadalajara
74,Cliente_76,68,M,Puebla
75,Cliente_77,56,M,Guadalajara
76,Cliente_78,27,Otro,CDMX
77,Cliente_79,66,F,Monterrey
78,Cliente_80,67,Otro,Monterrey
79,Cliente_81,69,Otro,Guadalajara
80,Cliente_82,26,M,CDMX
81,Cliente_83,32,Otro,Tijuana
82,Cliente_84,56,M,Monterrey
83,Cliente_85,42,F,Monterrey
84,Cliente_86,39,F,Guadalajara
85,Cliente_87,27,M,Tijuana
86,Cliente_88,68,M,Guadalajara
87,Cliente_89,57,Otro,Guadalajara
88,Cliente_90,63,F,CDMX
89,Cliente_91,56,M,Puebla
90,Cliente_92,60,F,Puebla
91,Cliente_93,66,M,Monterrey
92,Cliente_94,44,Otro,Puebla
93,Cliente_95,22,F,Tijuana
94,Cliente_96,66,F,Guadalajara
95,Cliente_97,33,M,Monterrey
96,Cliente_98,68,M,Guadalajara
97,Cliente_99,28,M,Puebla
98,Cliente_100,60,F,Guadalajara
99,Cliente_101,63,F,Monterrey
100,Cliente_102,38,M,Guadalajara
101,Cliente_103,65,F,CDMX
102,Cliente_104,45,F,CDMX
103,Cliente_105,48,Otro,Monterrey
104,Cliente_106,46,M,Puebla
105,Cliente_107,67,M,Monterrey
106,Cliente_108,63,F,Puebla
107,Cliente_109,47,Otro,Monterrey
108,Cliente_110,68,Otro,Guadalajara
109,Cliente_111,64,F,Monterrey
110,Cliente_112,46,F,Monterrey
111,Cliente_113,62,Otro,Guadalajara
112,Cliente_114,44,F,Puebla
113,Cliente_115,39,Otro,CDMX
114,Cliente_116,59,Otro,Puebla
115,Cliente_117,39,F,CDMX
116,Cliente_118,62,M,Tijuana
117,Cliente_119,25,F,Monterrey
118,Cliente_120,25,M,Guadalajara
119,Cliente_121,36,F,CDMX
120,Cliente_122,32,F,Puebla
121,Cliente_123,54,F,Guadalajara
122,Cliente_124,21,Otro,Monterrey
123,Cliente_125,45,F,CDMX
124,Cliente_126,56,M,Tijuana
125,Cliente_127,52,Otro,Monterrey
126,Cliente_128,55,Otro,Guadalajara
127,Cliente_129,30,F,Tijuana
128,Cliente_130,44,F,CDMX
129,Cliente_131,31,F,Monterrey
130,Cliente_132,57,Otro,Monterrey
131,Cliente_133,66,Otro,Puebla
132,Cliente_134,50,F,Monterrey
133,Cliente_135,32,F,Monterrey
134,Cliente_136,23,F,Puebla
135,Cliente_137,53,M,Puebla
136,Cliente_138,28,F,Monterrey
137,Cliente_139,20,F,Puebla
138,Cliente_140,47,Otro,Monterrey
139,Cliente_141,63,F,Puebla
140,Cliente_142,25,M,Puebla
141,Cliente_143,41,Otro,Puebla
142,Cliente_144,25,F,Monterrey
143,Cliente_145,31,Otro,Puebla
144,Cliente_146,68,M,Tijuana
145,Cliente_147,44,M,CDMX
146,Cliente_148,38,Otro,Guadalajara
147,Cliente_149,50,F,Tijuana
148,Cliente_150,27,Otro,Puebla
149,Cliente_151,33,F,Tijuana
150,Cliente_152,39,F,Tijuana
151,Cliente_153,49,Otro,Puebla
152,Cliente_154,24,M,Puebla
153,Cliente_155,50,M,Puebla
154,Cliente_156,23,M,Tijuana
155,Cliente_157,34,F,Monterrey
156,Cliente_158,69,Otro,Guadalajara
157,Cliente_159,55,F,Puebla
158,Cliente_160,59,Otro,CDMX
159,Cliente_161,43,M,CDMX
160,Cliente_162,36,Otro,Guadalajara
161,Cliente_163,27,F,Puebla
162,Cliente_164,64,M,Puebla
163,Cliente_165,18,F,Monterrey
164,Cliente_166,53,Otro,Monterrey
165,Cliente_167,66,M,Tijuana
166,Cliente_168,31,F,Monterrey
167,Cliente_169,56,Otro,Tijuana
168,Cliente_170,55,F,Monterrey
169,Cliente_171,33,Otro,Monterrey
170,Cliente_172,28,F,Puebla
171,Cliente_173,23,Otro,Puebla
172,Cliente_174,36,F,Tijuana
173,Cliente_175,31,M,CDMX
174,Cliente_176,32,Otro,Guadalajara
175,Cliente_177,56,Otro,Tijuana
176,Cliente_178,47,F,Guadalajara
177,Cliente_179,29,M,Guadalajara
178,Cliente_180,47,Otro,Tijuana
179,Cliente_181,40,Otro,Tijuana
180,Cliente_182,59,M,Monterrey
181,Cliente_183,23,F,Monterrey
182,Cliente_184,60,Otro,Tijuana
183,Cliente_185,27,Otro,Puebla
184,Cliente_186,31,Otro,Puebla
185,Cliente_187,59,F,Guadalajara
186,Cliente_188,52,M,Guadalajara
187,Cliente_189,25,Otro,Tijuana
188,Cliente_190,22,F,Monterrey
189,Cliente_191,50,Otro,Tijuana
190,Cliente_192,52,M,CDMX
191,Cliente_193,45,Otro,Puebla
192,Cliente_194,50,F,Tijuana
193,Cliente_195,21,M,Guadalajara
194,Cliente_196,22,F,CDMX
195,Cliente_197,40,M,Monterrey
196,Cliente_198,32,M,Puebla
197,Cliente_199,34,M,CDMX
198,Cliente_200,25,F,Puebla
199,Cliente_201,50,M,Puebla
200,Cliente_202,39,M,Tijuana
201,Cliente_203,31,F,Puebla
202,Cliente_204,29,F,Puebla
203,Cliente_205,36,F,CDMX
204,Cliente_206,53,F,Guadalajara
205,Cliente_207,24,M,Puebla
206,Cliente_208,34,M,Puebla
207,Cliente_209,25,M,Puebla
208,Cliente_210,20,M,CDMX
209,Cliente_211,27,M,Guadalajara
210,Cliente_212,35,M,Monterrey
211,Cliente_213,43,M,Guadalajara
212,Cliente_214,43,F,Guadalajara
213,Cliente_215,64,Otro,Monterrey
214,Cliente_216,50,Otro,CDMX
215,Cliente_217,22,F,Tijuana
216,Cliente_218,28,F,Monterrey
217,Cliente_219,64,Otro,Tijuana
218,Cliente_220,31,M,Monterrey
219,Cliente_221,64,Otro,Tijuana
220,Cliente_222,18,M,Tijuana
221,Cliente_223,42,Otro,Monterrey
222,Cliente_224,39,Otro,Tijuana
223,Cliente_225,68,M,Tijuana
224,Cliente_226,29,F,Monterrey
225,Cliente_227,37,F,Tijuana
226,Cliente_228,38,Otro,Monterrey
227,Cliente_229,69,F,Puebla
228,Cliente_230,36,Otro,Tijuana
229,Cliente_231,41,Otro,Tijuana
230,Cliente_232,55,Otro,Guadalajara
231,Cliente_233,46,F,CDMX
232,Cliente_234,26,Otro,Puebla
233,Cliente_236,53,M,Monterrey
234,Cliente_237,23,M,Tijuana
235,Cliente_238,63,Otro,Guadalajara
236,Cliente_239,19,Otro,Puebla
237,Cliente_240,20,M,Guadalajara
238,Cliente_241,42,Otro,Puebla
239,Cliente_242,55,Otro,Puebla
240,Cliente_243,46,M,CDMX
241,Cliente_244,31,F,Tijuana
242,Cliente_245,53,F,Tijuana
243,Cliente_246,59,F,Monterrey
244,Cliente_247,57,F,Guadalajara
