producto_id,nombre_producto,categoria,precio_base
1,Producto_1,Ropa,172.87
2,Producto_2,Ropa,392.52
3,Producto_3,Ropa,94.29
4,Producto_4,Abarrotes,370.64
5,Producto_5,Abarrotes,51.53
6,Producto_6,Electrónica,34.8
7,Producto_7,Abarrotes,292.57
8,Producto_8,Abarrotes,41.79
9,Producto_9,Ropa,88.37
10,Producto_10,Ropa,322.08
11,Producto_11,Electrónica,166.41
12,Producto_12,Hogar,431.35
13,Producto_13,Ropa,476.67
14,Producto_14,Ropa,72.02
15,Producto_15,Salud,37.04
16,Producto_16,Abarrotes,165.03
17,Producto_17,Salud,143.8
18,Producto_18,Ropa,144.52
19,Producto_19,Salud,268.83
20,Producto_20,Hogar,429.98
21,Producto_21,Electrónica,128.87
22,Producto_22,Abarrotes,215.64
23,Producto_23,Salud,188.1
24,Producto_24,Ropa,492.45
25,Producto_25,Ropa,108.19
26,Producto_26,Abarrotes,425.16
27,Producto_27,Ropa,205.18
28,Producto_28,Salud,314.65
29,Producto_29,Hogar,419.73
30,Producto_30,Abarrotes,310.57
31,Producto_31,Abarrotes,299.57
32,Producto_32,Salud,319.53
33,Producto_33,Hogar,61.36
34,Producto_34,Electrónica,126.37
35,Producto_35,Electrónica,168.28
36,Producto_36,Hogar,419.54
37,Producto_37,Ropa,74.37
38,Producto_38,Abarrotes,439.6
39,Producto_39,Ropa,322.44
40,Producto_40,Electrónica,462.96
41,Producto_41,Salud,2291.38
42,Producto_42,Electrónica,225.34
43,Producto_43,Hogar,386.82
44,Producto_44,Abarrotes,240.87
45,Producto_45,Abarrotes,337.91
46,Producto_46,Electrónica,63.21
47,Producto_47,Electrónica,65.84
48,Producto_48,Salud,2801.88
49,Producto_49,Electrónica,288.42
50,Producto_50,Salud,10.05
51,Producto_51,Ropa,290.36
52,Producto_52,Electrónica,305.31
53,Producto_53,Electrónica,124.03
54,Producto_54,Electrónica,238.85
55,Producto_55,Salud,377.26
56,Producto_56,Ropa,289.08
57,Producto_57,Abarrotes,466.46
58,Producto_58,Hogar,270.25
59,Producto_59,Salud,147.5
60,Producto_60,Hogar,422.96
61,Producto_61,Hogar,385.27
62,Producto_62,Ropa,155.19
63,Producto_63,Ropa,442.19
64,Producto_64,Salud,54.21
65,Producto_65,Electrónica,386.0
66,Producto_66,Ropa,188.71
67,Producto_67,Ropa,42.46
68,Producto_68,Abarrotes,435.84
69,Producto_69,Hogar,77.2
70,Producto_70,Hogar,93.67
71,Producto_71,Ropa,210.2
72,Producto_72,Ropa,159.07
73,Producto_73,Electrónica,138.43
74,Producto_74,Electrónica,290.18
75,Producto_75,Ropa,451.0
76,Producto_76,Salud,352.37
77,Producto_77,Salud,185.35
78,Producto_78,Ropa,16.86
79,Producto_79,Ropa,188.86
80,Producto_80,Salud,99.91
81,Producto_81,Salud,383.93
82,Producto_82,Electrónica,440.63
83,Producto_83,Ropa,334.74
84,Producto_84,Hogar,403.82
85,Producto_85,Hogar,254.21
86,Producto_86,Abarrotes,416.1
87,Producto_87,Ropa,290.28
88,Producto_88,Hogar,348.06
89,Producto_89,Electrónica,464.85
90,Producto_90,Abarrotes,461.39
91,Producto_91,Electrónica,33.69
92,Producto_92,Abarrotes,485.37
93,Producto_93,Salud,277.84
94,Producto_94,Electrónica,397.02
95,Producto_95,Ropa,398.24
96,Producto_96,Hogar,441.08
97,Producto_97,Electrónica,309.48
98,Producto_98,Electrónica,33.75
99,Producto_99,Abarrotes,282.68
100,Producto_100,Abarrotes,290.96
101,Producto_101,Ropa,426.98
102,Producto_102,Electrónica,411.21
103,Producto_103,Hogar,58.94
104,Producto_104,Hogar,7.73
105,Producto_106,Ropa,5.38
106,Producto_107,Ropa,107.3
107,Producto_108,Abarrotes,351.6
108,Producto_109,Ropa,357.72
109,Producto_110,Abarrotes,101.47
110,Producto_111,Hogar,435.12
111,Producto_112,Ropa,480.18
112,Producto_113,Hogar,59.26
113,Producto_114,Abarrotes,303.12
114,Producto_115,Abarrotes,390.68
115,Producto_116,Abarrotes,134.81
116,Producto_117,Salud,359.85
117,Producto_118,Ropa,306.94
118,Producto_119,Abarrotes,421.07
119,Producto_120,Hogar,285.66
120,Producto_121,Salud,34.89
121,Producto_122,Hogar,405.47
122,Producto_123,Salud,799.95
123,Producto_124,Salud,425.05
124,Producto_125,Ropa,353.9
125,Producto_126,Salud,432.43
126,Producto_127,Salud,80.13
127,Producto_128,Abarrotes,213.01
128,Producto_129,Hogar,489.98
129,Producto_130,Abarrotes,262.43
130,Producto_131,Electrónica,400.42
131,Producto_132,Abarrotes,198.23
132,Producto_133,Electrónica,468.15
133,Producto_134,Salud,109.26
134,Producto_136,Electrónica,45.96
135,Producto_137,Abarrotes,163.81
136,Producto_138,Abarrotes,322.42
137,Producto_139,Electrónica,217.38
138,Producto_140,Electrónica,129.27
139,Producto_141,Abarrotes,364.52
140,Producto_142,Abarrotes,293.84
141,Producto_143,Ropa,52.48
142,Producto_144,Hogar,57.5
143,Producto_145,Ropa,283.05
144,Producto_146,Salud,405.32
145,Producto_147,Hogar,467.7
146,Producto_148,Salud,49.08
147,Producto_149,Salud,147.55
148,Producto_150,Electrónica,111.8
149,Producto_151,Electrónica,310.65
150,Producto_152,Hogar,96.43
151,Producto_153,Electrónica,814.77
152,Producto_154,Electrónica,76.91
153,Producto_155,Electrónica,213.82
154,Producto_156,Abarrotes,77.86
155,Producto_157,Salud,420.09
156,Producto_158,Electrónica,120.1
157,Producto_159,Salud,18.52
158,Producto_160,Abarrotes,211.07
159,Producto_161,Abarrotes,132.9
160,Producto_162,Ropa,255.2
161,Producto_163,Ropa,492.44
162,Producto_164,Abarrotes,407.28
163,Producto_165,Hogar,226.06
164,Producto_166,Salud,318.04
165,Producto_167,Ropa,58.8
166,Producto_169,Abarrotes,87.81
167,Producto_170,Ropa,351.0
168,Producto_171,Hogar,134.7
169,Producto_172,Ropa,330.94
170,Producto_173,Electrónica,311.14
171,Producto_174,Ropa,417.82
172,Producto_175,Salud,197.55
173,Producto_176,Salud,410.17
174,Producto_177,Ropa,72.68
175,Producto_178,Salud,314.54
176,Producto_179,Salud,310.56
177,Producto_180,Salud,121.71
178,Producto_181,Electrónica,256.52
179,Producto_182,Abarrotes,41.47
180,Producto_183,Salud,400.4
181,Producto_185,Abarrotes,278.9
182,Producto_186,Abarrotes,56.71
183,Producto_187,Electrónica,91.7
184,Producto_188,Ropa,477.58
185,Producto_189,Hogar,340.24
186,Producto_190,Ropa,387.45
187,Producto_191,Abarrotes,371.44
188,Producto_192,Electrónica,110.49
189,Producto_193,Abarrotes,409.95
190,Producto_194,Ropa,123.24
191,Producto_195,Ropa,359.37
192,Producto_196,Electrónica,104.36
193,Producto_197,Abarrotes,202.22
194,Producto_198,Electrónica,405.61
195,Producto_199,Ropa,90.42
196,Producto_200,Abarrotes,315.85
197,Producto_201,Hogar,176.58
198,Producto_202,Salud,499.13
199,Producto_203,Abarrotes,40.32
200,Producto_204,Abarrotes,155.83
201,Producto_205,Electrónica,352.89
202,Producto_206,Electrónica,93.6
203,Producto_207,Hogar,149.85
204,Producto_208,Abarrotes,475.63
205,Producto_209,Salud,472.44
206,Producto_210,Salud,8.21
207,Producto_211,Abarrotes,483.22
208,Producto_212,Ropa,412.17
209,Producto_213,Salud,405.18
210,Producto_214,Electrónica,235.75
211,Producto_215,Ropa,323.36
212,Producto_216,Ropa,213.66
213,Producto_217,Ropa,300.0
214,Producto_218,Salud,420.15
215,Producto_219,Hogar,17.69
216,Producto_220,Abarrotes,361.06
217,Producto_221,Abarrotes,258.95
218,Producto_222,Abarrotes,354.84
219,Producto_223,Abarrotes,275.64
220,Producto_224,Salud,12.56
221,Producto_225,Salud,248.89
222,Producto_226,Ropa,103.74
223,Producto_227,Abarrotes,52.16
224,Producto_228,Salud,426.46
225,Producto_229,Salud,344.37
226,Producto_230,Salud,48.33
227,Producto_231,Electrónica,297.94
228,Producto_232,Hogar,213.69
229,Producto_233,Abarrotes,386.51
230,Producto_234,Salud,375.05
231,Producto_235,Salud,74.69
232,Producto_236,Electrónica,307.16
233,Producto_237,Hogar,340.19
234,Producto_238,Hogar,64.35
235,Producto_239,Electrónica,302.39
236,Producto_241,Ropa,147.7
237,Producto_242,Salud,386.92
238,Producto_243,Ropa,474.86
239,Producto_244,Salud,498.53
240,Producto_245,Salud,230.46
241,Producto_246,Ropa,160.39
242,Producto_247,Abarrotes,8.43
243,Producto_248,Hogar,136.22
244,Producto_249,Salud,362.46
245,Producto_250,Abarrotes,355.98
246,Producto_251,Hogar,480.04
247,Producto_252,Salud,134.2
248,Producto_254,Abarrotes,53.9
