cliente_id,nombre,edad,genero,ubicacion
1.0,Cliente_1,54.0,Otro,Puebla
2.0,Cliente_2,46.0,M,Tijuana
3.0,Cliente_3,68.0,F,Monterrey
4.0,Cliente_4,21.0,M,CDMX
5.0,Cliente_5,54.0,Otro,CDMX
6.0,Cliente_6,25.0,Otro,Monterrey
7.0,Cliente_7,31.0,F,Guadalajara
8.0,Cliente_8,54.0,M,Guadalajara
9.0,Cliente_9,28.0,Otro,Guadalajara
10.0,Cliente_10,53.0,F,Tijuana
11.0,Cliente_11,21.0,F,Tijuana
12.0,Cliente_12,31.0,Otro,Puebla
13.0,Cliente_13,63.0,F,Puebla
14.0,Cliente_14,66.0,F,Puebla
15.0,Cliente_15,30.0,M,CDMX
142.23206940961796,Cliente_16,381.434820012849,Otro,Monterrey
17.0,Cliente_17,51.0,F,Puebla
18.0,Cliente_18,40.0,Otro,CDMX
19.0,Cliente_19,27.0,F,Monterrey
20.0,Cliente_20,30.0,Otro,CDMX
21.0,Cliente_21,42.0,Otro,Tijuana
200.76764890873514,Cliente_22,453.6151750618722,M,Puebla
,,,,
24.0,Cliente_24,52.0,F,CDMX
25.0,Cliente_25,65.0,F,CDMX
26.0,Cliente_26,46.0,Otro,Puebla
27.0,Cliente_27,22.0,F,Puebla
28.0,Cliente_28,38.0,M,Tijuana
29.0,Cliente_29,58.0,Otro,Tijuana
30.0,Cliente_30,56.0,M,Guadalajara
31.0,Cliente_31,66.0,F,Tijuana
32.0,Cliente_32,63.0,F,Puebla
33.0,Cliente_33,36.0,M,Tijuana
34.0,Cliente_34,61.0,Otro,Tijuana
35.0,Cliente_35,24.0,Otro,Monterrey
36.0,Cliente_36,39.0,M,Guadalajara
37.0,Cliente_37,48.0,F,Tijuana
38.0,Cliente_38,28.0,F,Guadalajara
270.8669986702519,Cliente_39,227.29730041513622,Otro,CDMX
40.0,Cliente_40,29.0,M,Tijuana
41.0,Cliente_41,18.0,M,CDMX
42.0,Cliente_42,58.0,M,Puebla
43.0,Cliente_43,34.0,F,Monterrey
44.0,Cliente_44,57.0,F,CDMX
,,,,
46.0,Cliente_46,68.0,M,Puebla
47.0,Cliente_47,59.0,F,Guadalajara
48.0,Cliente_48,55.0,F,CDMX
49.0,Cliente_49,39.0,M,Guadalajara
50.0,Cliente_50,59.0,Otro,CDMX
51.0,Cliente_51,41.0,M,Puebla
52.0,Cliente_52,54.0,M,Guadalajara
53.0,Cliente_53,52.0,Otro,Monterrey
54.0,Cliente_54,35.0,F,Tijuana
55.0,Cliente_55,55.0,F,Puebla
56.0,Cliente_56,32.0,Otro,CDMX
57.0,Cliente_57,25.0,M,Monterrey
58.0,Cliente_58,67.0,Otro,Puebla
59.0,Cliente_59,32.0,Otro,Tijuana
60.0,Cliente_60,45.0,F,Guadalajara
61.0,Cliente_61,65.0,F,Tijuana
62.0,Cliente_62,32.0,F,CDMX
63.0,Cliente_63,52.0,Otro,Monterrey
64.0,Cliente_64,68.0,F,Tijuana
65.0,Cliente_65,60.0,M,Guadalajara
66.0,Cliente_66,51.0,Otro,Tijuana
67.0,Cliente_67,41.0,F,Puebla
68.0,Cliente_68,25.0,Otro,Guadalajara
69.0,Cliente_69,53.0,Otro,Guadalajara
70.0,Cliente_70,18.0,F,Guadalajara
71.0,Cliente_71,55.0,Otro,Tijuana
72.0,Cliente_72,57.0,F,Puebla
73.0,Cliente_73,26.0,M,Monterrey
74.0,Cliente_74,62.0,F,CDMX
75.0,Cliente_75,52.0,M,Guadalajara
76.0,Cliente_76,68.0,M,Puebla
77.0,Cliente_77,56.0,M,Guadalajara
78.0,Cliente_78,27.0,Otro,CDMX
79.0,Cliente_79,66.0,F,Monterrey
80.0,Cliente_80,67.0,Otro,Monterrey
81.0,Cliente_81,69.0,Otro,Guadalajara
82.0,Cliente_82,26.0,M,CDMX
83.0,Cliente_83,32.0,Otro,Tijuana
84.0,Cliente_84,56.0,M,Monterrey
85.0,Cliente_85,42.0,F,Monterrey
86.0,Cliente_86,39.0,F,Guadalajara
87.0,Cliente_87,27.0,M,Tijuana
88.0,Cliente_88,68.0,M,Guadalajara
89.0,Cliente_89,57.0,Otro,Guadalajara
90.0,Cliente_90,63.0,F,CDMX
91.0,Cliente_91,56.0,M,Puebla
92.0,Cliente_92,60.0,F,Puebla
93.0,Cliente_93,66.0,M,Monterrey
94.0,Cliente_94,44.0,Otro,Puebla
95.0,Cliente_95,22.0,F,Tijuana
96.0,Cliente_96,66.0,F,Guadalajara
97.0,Cliente_97,33.0,M,Monterrey
98.0,Cliente_98,68.0,M,Guadalajara
99.0,Cliente_99,28.0,M,Puebla
100.0,Cliente_100,60.0,F,Guadalajara
101.0,Cliente_101,63.0,F,Monterrey
102.0,Cliente_102,38.0,M,Guadalajara
103.0,Cliente_103,65.0,F,CDMX
104.0,Cliente_104,45.0,F,CDMX
105.0,Cliente_105,48.0,Otro,Monterrey
106.0,Cliente_106,46.0,M,Puebla
107.0,Cliente_107,67.0,M,Monterrey
108.0,Cliente_108,63.0,F,Puebla
109.0,Cliente_109,47.0,Otro,Monterrey
110.0,Cliente_110,68.0,Otro,Guadalajara
111.0,Cliente_111,64.0,F,Monterrey
112.0,Cliente_112,46.0,F,Monterrey
113.0,Cliente_113,62.0,Otro,Guadalajara
114.0,Cliente_114,44.0,F,Puebla
115.0,Cliente_115,39.0,Otro,CDMX
116.0,Cliente_116,59.0,Otro,Puebla
117.0,Cliente_117,39.0,F,CDMX
118.0,Cliente_118,62.0,M,Tijuana
119.0,Cliente_119,25.0,F,Monterrey
120.0,Cliente_120,25.0,M,Guadalajara
121.0,Cliente_121,36.0,F,CDMX
122.0,Cliente_122,32.0,F,Puebla
123.0,Cliente_123,54.0,F,Guadalajara
124.0,Cliente_124,21.0,Otro,Monterrey
125.0,Cliente_125,45.0,F,CDMX
126.0,Cliente_126,56.0,M,Tijuana
127.0,Cliente_127,52.0,Otro,Monterrey
128.0,Cliente_128,55.0,Otro,Guadalajara
129.0,Cliente_129,30.0,F,Tijuana
130.0,Cliente_130,44.0,F,CDMX
131.0,Cliente_131,31.0,F,Monterrey
132.0,Cliente_132,57.0,Otro,Monterrey
133.0,Cliente_133,66.0,Otro,Puebla
134.0,Cliente_134,50.0,F,Monterrey
135.0,Cliente_135,32.0,F,Monterrey
136.0,Cliente_136,23.0,F,Puebla
137.0,Cliente_137,53.0,M,Puebla
138.0,Cliente_138,28.0,F,Monterrey
139.0,Cliente_139,20.0,F,Puebla
140.0,Cliente_140,47.0,Otro,Monterrey
141.0,Cliente_141,63.0,F,Puebla
142.0,Cliente_142,25.0,M,Puebla
143.0,Cliente_143,41.0,Otro,Puebla
144.0,Cliente_144,25.0,F,Monterrey
145.0,Cliente_145,31.0,Otro,Puebla
146.0,Cliente_146,68.0,M,Tijuana
147.0,Cliente_147,44.0,M,CDMX
148.0,Cliente_148,38.0,Otro,Guadalajara
149.0,Cliente_149,50.0,F,Tijuana
150.0,Cliente_150,27.0,Otro,Puebla
151.0,Cliente_151,33.0,F,Tijuana
152.0,Cliente_152,39.0,F,Tijuana
153.0,Cliente_153,49.0,Otro,Puebla
154.0,Cliente_154,24.0,M,Puebla
155.0,Cliente_155,50.0,M,Puebla
156.0,Cliente_156,23.0,M,Tijuana
157.0,Cliente_157,34.0,F,Monterrey
158.0,Cliente_158,69.0,Otro,Guadalajara
159.0,Cliente_159,55.0,F,Puebla
160.0,Cliente_160,59.0,Otro,CDMX
161.0,Cliente_161,43.0,M,CDMX
162.0,Cliente_162,36.0,Otro,Guadalajara
163.0,Cliente_163,27.0,F,Puebla
164.0,Cliente_164,64.0,M,Puebla
165.0,Cliente_165,18.0,F,Monterrey
166.0,Cliente_166,53.0,Otro,Monterrey
167.0,Cliente_167,66.0,M,Tijuana
168.0,Cliente_168,31.0,F,Monterrey
169.0,Cliente_169,56.0,Otro,Tijuana
170.0,Cliente_170,55.0,F,Monterrey
171.0,Cliente_171,33.0,Otro,Monterrey
172.0,Cliente_172,28.0,F,Puebla
173.0,Cliente_173,23.0,Otro,Puebla
174.0,Cliente_174,36.0,F,Tijuana
175.0,Cliente_175,31.0,M,CDMX
176.0,Cliente_176,32.0,Otro,Guadalajara
177.0,Cliente_177,56.0,Otro,Tijuana
178.0,Cliente_178,47.0,F,Guadalajara
179.0,Cliente_179,29.0,M,Guadalajara
180.0,Cliente_180,47.0,Otro,Tijuana
181.0,Cliente_181,40.0,Otro,Tijuana
182.0,Cliente_182,59.0,M,Monterrey
183.0,Cliente_183,23.0,F,Monterrey
184.0,Cliente_184,60.0,Otro,Tijuana
185.0,Cliente_185,27.0,Otro,Puebla
186.0,Cliente_186,31.0,Otro,Puebla
187.0,Cliente_187,59.0,F,Guadalajara
188.0,Cliente_188,52.0,M,Guadalajara
189.0,Cliente_189,25.0,Otro,Tijuana
190.0,Cliente_190,22.0,F,Monterrey
191.0,Cliente_191,50.0,Otro,Tijuana
192.0,Cliente_192,52.0,M,CDMX
193.0,Cliente_193,45.0,Otro,Puebla
194.0,Cliente_194,50.0,F,Tijuana
195.0,Cliente_195,21.0,M,Guadalajara
196.0,Cliente_196,22.0,F,CDMX
197.0,Cliente_197,40.0,M,Monterrey
198.0,Cliente_198,32.0,M,Puebla
199.0,Cliente_199,34.0,M,CDMX
200.0,Cliente_200,25.0,F,Puebla
201.0,Cliente_201,50.0,M,Puebla
202.0,Cliente_202,39.0,M,Tijuana
203.0,Cliente_203,31.0,F,Puebla
204.0,Cliente_204,29.0,F,Puebla
205.0,Cliente_205,36.0,F,CDMX
206.0,Cliente_206,53.0,F,Guadalajara
207.0,Cliente_207,24.0,M,Puebla
208.0,Cliente_208,34.0,M,Puebla
209.0,Cliente_209,25.0,M,Puebla
210.0,Cliente_210,20.0,M,CDMX
211.0,Cliente_211,27.0,M,Guadalajara
212.0,Cliente_212,35.0,M,Monterrey
213.0,Cliente_213,43.0,M,Guadalajara
214.0,Cliente_214,43.0,F,Guadalajara
215.0,Cliente_215,64.0,Otro,Monterrey
216.0,Cliente_216,50.0,Otro,CDMX
217.0,Cliente_217,22.0,F,Tijuana
218.0,Cliente_218,28.0,F,Monterrey
219.0,Cliente_219,64.0,Otro,Tijuana
220.0,Cliente_220,31.0,M,Monterrey
221.0,Cliente_221,64.0,Otro,Tijuana
222.0,Cliente_222,18.0,M,Tijuana
223.0,Cliente_223,42.0,Otro,Monterrey
224.0,Cliente_224,39.0,Otro,Tijuana
225.0,Cliente_225,68.0,M,Tijuana
226.0,Cliente_226,29.0,F,Monterrey
227.0,Cliente_227,37.0,F,Tijuana
228.0,Cliente_228,38.0,Otro,Monterrey
229.0,Cliente_229,69.0,F,Puebla
230.0,Cliente_230,36.0,Otro,Tijuana
231.0,Cliente_231,41.0,Otro,Tijuana
232.0,Cliente_232,55.0,Otro,Guadalajara
233.0,Cliente_233,46.0,F,CDMX
234.0,Cliente_234,26.0,Otro,Puebla
,,,,
236.0,Cliente_236,53.0,M,Monterrey
237.0,Cliente_237,23.0,M,Tijuana
238.0,Cliente_238,63.0,Otro,Guadalajara
239.0,Cliente_239,19.0,Otro,Puebla
240.0,Cliente_240,20.0,M,Guadalajara
241.0,Cliente_241,42.0,Otro,Puebla
242.0,Cliente_242,55.0,Otro,Puebla
243.0,Cliente_243,46.0,M,CDMX
244.0,Cliente_244,31.0,F,Tijuana
245.0,Cliente_245,53.0,F,Tijuana
246.0,Cliente_246,59.0,F,Monterrey
247.0,Cliente_247,57.0,F,Guadalajara
248.0,Cliente_248,47.0,M,CDMX
249.0,Cliente_249,64.0,M,CDMX
250.0,Cliente_250,41.0,F,CDMX
251.0,Cliente_251,61.0,F,Puebla
252.0,Cliente_252,42.0,Otro,Guadalajara
253.0,Cliente_253,34.0,Otro,CDMX
254.0,Cliente_254,53.0,Otro,Puebla
255.0,Cliente_255,55.0,M,CDMX
256.0,Cliente_256,30.0,F,Monterrey
257.0,Cliente_257,35.0,Otro,Puebla
258.0,Cliente_258,49.0,Otro,Puebla
259.0,Cliente_259,21.0,M,Tijuana
260.0,Cliente_260,45.0,F,Monterrey
261.0,Cliente_261,37.0,Otro,Monterrey
262.0,Cliente_262,44.0,F,Guadalajara
263.0,Cliente_263,60.0,Otro,Puebla
264.0,Cliente_264,39.0,Otro,Puebla
265.0,Cliente_265,27.0,M,Tijuana
266.0,Cliente_266,28.0,F,CDMX
267.0,Cliente_267,19.0,M,Monterrey
268.0,Cliente_268,26.0,F,Puebla
269.0,Cliente_269,19.0,M,Monterrey
