proveedor_id,nombre_proveedor,contacto,ubicacion
1.0,Proveedor_1,contacto1@empresa.com,Monterrey
2.0,Proveedor_2,contacto2@empresa.com,Tijuana
3.0,Proveedor_3,contacto3@empresa.com,Tijuana
4.0,Proveedor_4,contacto4@empresa.com,CDMX
5.0,Proveedor_5,contacto5@empresa.com,Monterrey
,,,
7.0,Proveedor_7,contacto7@empresa.com,Tijuana
8.0,Proveedor_8,contacto8@empresa.com,Monterrey
9.0,Proveedor_9,contacto9@empresa.com,Guadalajara
10.0,Proveedor_10,contacto10@empresa.com,Puebla
11.0,Proveedor_11,contacto11@empresa.com,Guadalajara
12.0,Proveedor_12,contacto12@empresa.com,Tijuana
13.0,Proveedor_13,contacto13@empresa.com,Monterrey
14.0,Proveedor_14,contacto14@empresa.com,Tijuana
15.0,Proveedor_15,contacto15@empresa.com,Monterrey
16.0,Proveedor_16,contacto16@empresa.com,Puebla
17.0,Proveedor_17,contacto17@empresa.com,Puebla
18.0,Proveedor_18,contacto18@empresa.com,Guadalajara
19.0,Proveedor_19,contacto19@empresa.com,Monterrey
20.0,Proveedor_20,contacto20@empresa.com,Puebla
21.0,Proveedor_21,contacto21@empresa.com,Tijuana
22.0,Proveedor_22,contacto22@empresa.com,Monterrey
23.0,Proveedor_23,contacto23@empresa.com,CDMX
24.0,Proveedor_24,contacto24@empresa.com,Tijuana
25.0,Proveedor_25,contacto25@empresa.com,Guadalajara
26.0,Proveedor_26,contacto26@empresa.com,Tijuana
27.0,Proveedor_27,contacto27@empresa.com,Tijuana
28.0,Proveedor_28,contacto28@empresa.com,Tijuana
29.0,Proveedor_29,contacto29@empresa.com,Monterrey
30.0,Proveedor_30,contacto30@empresa.com,Puebla
31.0,Proveedor_31,contacto31@empresa.com,CDMX
32.0,Proveedor_32,contacto32@empresa.com,Monterrey
33.0,Proveedor_33,contacto33@empresa.com,Tijuana
34.0,Proveedor_34,contacto34@empresa.com,Monterrey
35.0,Proveedor_35,contacto35@empresa.com,Puebla
36.0,Proveedor_36,contacto36@empresa.com,Tijuana
37.0,Proveedor_37,contacto37@empresa.com,Monterrey
38.0,Proveedor_38,contacto38@empresa.com,Tijuana
39.0,Proveedor_39,contacto39@empresa.com,Monterrey
40.0,Proveedor_40,contacto40@empresa.com,Tijuana
41.0,Proveedor_41,contacto41@empresa.com,CDMX
42.0,Proveedor_42,contacto42@empresa.com,Monterrey
43.0,Proveedor_43,contacto43@empresa.com,CDMX
44.0,Proveedor_44,contacto44@empresa.com,CDMX
45.0,Proveedor_45,contacto45@empresa.com,CDMX
46.0,Proveedor_46,contacto46@empresa.com,Guadalajara
47.0,Proveedor_47,contacto47@empresa.com,Guadalajara
48.0,Proveedor_48,contacto48@empresa.com,Guadalajara
49.0,Proveedor_49,contacto49@empresa.com,Monterrey
50.0,Proveedor_50,contacto50@empresa.com,Monterrey
51.0,Proveedor_51,contacto51@empresa.com,Monterrey
52.0,Proveedor_52,contacto52@empresa.com,Monterrey
53.0,Proveedor_53,contacto53@empresa.com,Puebla
54.0,Proveedor_54,contacto54@empresa.com,Tijuana
55.0,Proveedor_55,contacto55@empresa.com,Guadalajara
56.0,Proveedor_56,contacto56@empresa.com,Tijuana
57.0,Proveedor_57,contacto57@empresa.com,Monterrey
58.0,Proveedor_58,contacto58@empresa.com,Monterrey
59.0,Proveedor_59,contacto59@empresa.com,CDMX
60.0,Proveedor_60,contacto60@empresa.com,Puebla
61.0,Proveedor_61,contacto61@empresa.com,CDMX
62.0,Proveedor_62,contacto62@empresa.com,Guadalajara
63.0,Proveedor_63,contacto63@empresa.com,Puebla
64.0,Proveedor_64,contacto64@empresa.com,Tijuana
65.0,Proveedor_65,contacto65@empresa.com,Puebla
,,,
67.0,Proveedor_67,contacto67@empresa.com,Monterrey
68.0,Proveedor_68,contacto68@empresa.com,Guadalajara
69.0,Proveedor_69,contacto69@empresa.com,Monterrey
70.0,Proveedor_70,contacto70@empresa.com,Monterrey
